purchase_date,type,capture_date,energy,warranty_date
2011-09-22,Furnace,2015-09-22,.172,
2012-07-08,Wine Cellar,2016-07-08,.007,
2012-08-04,Microwave,2015-08-04,.004,
2015-04-04,Microwave,2019-04-04,.004,
2012-04-20,Garage door,2015-04-20,.013,
2012-01-04,Wine Cellar,2016-01-04,.007,
2010-05-08,Wine Cellar,2014-05-08,.044,
2013-03-28,Fridge,2016-03-28,.062,
2016-01-09,Dish Washer,2018-01-09,.001,
2015-02-05,Dish Washer,2018-02-05,.001,
2014-06-25,Fridge,2018-06-25,.068,
2014-11-22,Wine Cellar,2017-11-22,.039,
2015-02-13,Fridge,2018-02-13,.098,
2011-04-27,Dish Washer,2014-04-27,.535,
2014-07-18,Wine Cellar,2017-07-18,.095,
2010-01-24,Fridge,2012-01-24,.008,
2012-07-24,Dish Washer,2016-07-24,.001,
2011-07-03,Furnace,2015-07-03,.050,
2015-01-20,Wine Cellar,2018-01-20,.158,
2015-12-30,Fridge,2017-12-30,.032,
2013-08-07,Dish Washer,2016-08-07,.001,
2012-03-30,Microwave,2015-03-30,.004,
2015-11-28,Garage door,2018-11-28,.013,
2016-11-05,Wine Cellar,2018-11-05,.007,
2012-01-05,Furnace,2016-01-05,.182,
2014-08-09,Dish Washer,2018-08-09,.001,
2011-11-01,Fridge,2013-11-01,.142,
2015-08-09,Microwave,2019-08-09,.003,
2012-09-26,Garage door,2016-09-26,.013,
2016-08-25,Fridge,2020-08-25,.049,
2014-07-19,Furnace,2017-07-19,.020,
2016-07-01,Wine Cellar,2018-07-01,.036,
2014-09-14,Fridge,2018-09-14,.068,
2011-08-23,Wine Cellar,2013-08-23,.007,
2014-11-15,Microwave,2018-11-15,.003,
2011-07-01,Wine Cellar,2014-07-01,.014,
2010-03-24,Furnace,2014-03-24,.100,
2011-06-15,Fridge,2014-06-15,.056,
2012-02-19,Wine Cellar,2016-02-19,.044,
2014-07-06,Wine Cellar,2018-07-06,.071,
2013-05-05,Microwave,2015-05-05,.012,
2012-07-25,Furnace,2015-07-25,.021,
2010-11-15,Garage door,2012-11-15,.015,
2010-12-09,Dish Washer,2014-12-09,.001,
2010-05-14,Wine Cellar,2012-05-14,.032,
2016-09-05,Wine Cellar,2020-09-05,.082,
2010-04-27,Fridge,2014-04-27,.100,
2015-02-18,Dish Washer,2018-02-18,.001,
2013-10-26,Dish Washer,2015-10-26,.001,
2014-05-10,Fridge,2018-05-10,.058,
2016-10-18,Dish Washer,2020-10-18,.001,
2010-06-06,Dish Washer,2014-06-06,.001,
2016-03-12,Dish Washer,2018-03-12,.001,
2013-08-15,Fridge,2016-08-15,.174,
2016-07-08,Wine Cellar,2020-07-08,.008,
2014-10-20,Furnace,2016-10-20,.020,
2012-11-11,Garage door,2016-11-11,.013,
2011-12-17,Fridge,2013-12-17,.019,
2012-02-25,Wine Cellar,2014-02-25,.008,
2015-05-20,Microwave,2019-05-20,.004,
2016-02-21,Fridge,2020-02-21,.057,
2011-09-30,Garage door,2014-09-30,.016,
2012-04-20,Wine Cellar,2014-04-20,.084,
2010-07-22,Dish Washer,2014-07-22,.001,
2015-08-22,Dish Washer,2017-08-22,.001,
2014-09-25,Wine Cellar,2018-09-25,.038,
2014-06-03,Furnace,2017-06-03,.020,
2016-02-19,Dish Washer,2018-02-19,.001,
2016-06-20,Fridge,2018-06-20,.106,
2014-07-12,Wine Cellar,2016-07-12,.041,
2015-05-28,Fridge,2017-05-28,.042,
2015-11-19,Dish Washer,2017-11-19,.001,
2016-06-04,Wine Cellar,2018-06-04,.008,
2012-08-02,Garage door,2014-08-02,.013,
2013-12-17,Wine Cellar,2015-12-17,.105,
2012-10-16,Microwave,2015-10-16,.004,
2013-03-25,Dish Washer,2016-03-25,.001,
2016-11-09,Fridge,2020-11-09,.044,
2010-02-07,Microwave,2013-02-07,.022,
2012-06-18,Wine Cellar,2014-06-18,.101,
2011-02-18,Furnace,2015-02-18,.186,
2016-01-04,Dish Washer,2018-01-04,.001,
2011-03-18,Fridge,2014-03-18,.129,
2016-02-08,Fridge,2020-02-08,.024,
2013-09-01,Furnace,2016-09-01,.185,
2012-01-04,Furnace,2015-01-04,.246,
2015-03-04,Furnace,2017-03-04,.021,
2013-11-27,Microwave,2017-11-27,.018,
2011-06-14,Fridge,2013-06-14,.043,
2012-08-11,Garage door,2015-08-11,.013,
2015-08-07,Garage door,2018-08-07,.013,
2015-12-13,Furnace,2018-12-13,.034,
2011-03-28,Garage door,2014-03-28,.016,
2014-01-13,Wine Cellar,2016-01-13,.008,
2013-03-14,Furnace,2017-03-14,.020,
2015-01-08,Wine Cellar,2019-01-08,.053,
2013-06-22,Dish Washer,2016-06-22,.001,
2015-07-10,Furnace,2018-07-10,.020,
2010-12-25,Garage door,2014-12-25,.018,
2015-12-22,Furnace,2019-12-22,.021,
2011-10-27,Garage door,2014-10-27,.013,
2016-10-06,Fridge,2018-10-06,.043,
2010-07-14,Wine Cellar,2014-07-14,.007,
2014-05-21,Furnace,2017-05-21,.020,
2015-06-19,Furnace,2019-06-19,.079,
2014-04-18,Dish Washer,2018-04-18,.001,
2011-06-09,Garage door,2014-06-09,.013,
2011-10-29,Microwave,2015-10-29,.004,
2011-03-23,Dish Washer,2014-03-23,.001,
2010-01-02,Dish Washer,2012-01-02,.001,
2015-09-22,Garage door,2018-09-22,.013,
2012-05-10,Wine Cellar,2016-05-10,.007,
2016-09-07,Dish Washer,2020-09-07,.001,
2013-03-10,Garage door,2017-03-10,.014,
2015-04-19,Furnace,2017-04-19,.020,
2011-06-11,Microwave,2015-06-11,.004,
2015-11-07,Dish Washer,2018-11-07,.001,
2011-11-12,Wine Cellar,2013-11-12,.007,
2016-04-13,Microwave,2020-04-13,.003,
2015-06-16,Dish Washer,2017-06-16,.280,
2012-09-17,Dish Washer,2014-09-17,.001,
2014-04-23,Microwave,2017-04-23,.004,
2011-07-28,Wine Cellar,2014-07-28,.007,
2015-12-25,Wine Cellar,2017-12-25,.008,
2010-07-20,Wine Cellar,2012-07-20,.022,
2013-08-28,Dish Washer,2016-08-28,.001,
2015-06-22,Wine Cellar,2017-06-22,.106,
2010-02-20,Wine Cellar,2013-02-20,.007,
2012-08-31,Fridge,2015-08-31,.060,
2014-11-25,Dish Washer,2018-11-25,.001,
2012-01-12,Dish Washer,2014-01-12,.001,
2010-02-17,Dish Washer,2012-02-17,.042,
