purchase_date,appliance,capture_date,energy,Warranty_date
2010-12-10,Fridge,2012-12-10,.087,
2010-02-28,Fridge,2014-02-28,.059,
2012-02-28,Fridge,2014-02-28,.059,
2012-10-02,Fridge,2014-10-02,.062,
2012-05-10,Fridge,2015-05-10,.089,
2013-05-10,Fridge,2015-05-10,.089,
2013-12-27,Fridge,2015-12-27,.087,
2012-08-14,Fridge,2016-08-14,.072,
2013-08-14,Fridge,2016-08-14,.072,
2012-11-28,Fridge,2016-11-28,.056,
2013-11-28,Fridge,2016-11-28,.056,
2014-11-28,Fridge,2016-11-28,.056,
2013-03-18,Fridge,2017-03-18,.084,
2013-06-05,Fridge,2017-06-05,.064,
2014-06-05,Fridge,2017-06-05,.064,
2015-06-05,Fridge,2017-06-05,.064,
2013-06-06,Fridge,2017-06-06,.062,
2014-06-06,Fridge,2017-06-06,.062,
2013-06-07,Fridge,2017-06-07,.068,
2014-06-07,Fridge,2017-06-07,.068,
2013-06-08,Fridge,2017-06-08,.078,
2014-06-08,Fridge,2017-06-08,.078,
2013-06-10,Fridge,2017-06-10,.076,
2014-06-11,Fridge,2017-06-11,.078,
2014-06-12,Fridge,2017-06-12,.087,
2013-06-13,Fridge,2017-06-13,.070,
2014-06-13,Fridge,2017-06-13,.070,
2015-06-13,Fridge,2017-06-13,.070,
2013-06-14,Fridge,2017-06-14,.070,
2014-06-14,Fridge,2017-06-14,.070,
2015-06-14,Fridge,2017-06-14,.070,
2013-06-15,Fridge,2017-06-15,.058,
2015-06-15,Fridge,2017-06-15,.058,
2013-06-16,Fridge,2017-06-16,.056,
2015-06-16,Fridge,2017-06-16,.056,
2013-06-17,Fridge,2017-06-17,.086,
2014-06-17,Fridge,2017-06-17,.086,
2015-06-17,Fridge,2017-06-17,.086,
2013-06-18,Fridge,2017-06-18,.059,
2014-06-18,Fridge,2017-06-18,.059,
2015-06-18,Fridge,2017-06-18,.059,
2014-06-19,Fridge,2017-06-19,.084,
2015-06-19,Fridge,2017-06-19,.084,
2015-06-20,Fridge,2017-06-20,.081,
2014-06-21,Fridge,2017-06-21,.052,
2015-06-21,Fridge,2017-06-21,.052,
2013-06-22,Fridge,2017-06-22,.065,
2014-06-22,Fridge,2017-06-22,.065,
2015-06-22,Fridge,2017-06-22,.065,
2013-06-23,Fridge,2017-06-23,.088,
2014-06-23,Fridge,2017-06-23,.088,
2015-06-23,Fridge,2017-06-23,.088,
2014-06-24,Fridge,2017-06-24,.080,
2015-06-24,Fridge,2017-06-24,.080,
2013-06-25,Fridge,2017-06-25,.066,
2014-06-25,Fridge,2017-06-25,.066,
2015-06-25,Fridge,2017-06-25,.066,
2013-06-26,Fridge,2017-06-26,.075,
2014-06-26,Fridge,2017-06-26,.075,
2015-06-26,Fridge,2017-06-26,.075,
2013-06-27,Fridge,2017-06-27,.077,
2014-06-27,Fridge,2017-06-27,.077,
2015-06-27,Fridge,2017-06-27,.077,
2013-06-28,Fridge,2017-06-28,.056,
2014-06-28,Fridge,2017-06-28,.056,
2015-06-28,Fridge,2017-06-28,.056,
2013-06-29,Fridge,2017-06-29,.051,
2014-06-29,Fridge,2017-06-29,.051,
2013-06-30,Fridge,2017-06-30,.088,
2014-06-30,Fridge,2017-06-30,.088,
2014-07-01,Fridge,2017-07-01,.082,
2015-07-01,Fridge,2017-07-01,.082,
2013-07-02,Fridge,2017-07-02,.083,
2015-07-02,Fridge,2017-07-02,.083,
2013-07-03,Fridge,2017-07-03,.057,
2015-07-03,Fridge,2017-07-03,.057,
2013-07-04,Fridge,2017-07-04,.085,
2015-07-04,Fridge,2017-07-04,.085,
2015-07-06,Fridge,2017-07-06,.079,
2013-07-07,Fridge,2017-07-07,.057,
2014-07-07,Fridge,2017-07-07,.057,
2015-07-07,Fridge,2017-07-07,.057,
2014-07-08,Fridge,2017-07-08,.057,
2015-07-08,Fridge,2017-07-08,.057,
2014-07-09,Fridge,2017-07-09,.081,
2015-07-09,Fridge,2017-07-09,.081,
2013-07-10,Fridge,2017-07-10,.077,
2014-07-10,Fridge,2017-07-10,.077,
2015-07-10,Fridge,2017-07-10,.077,
2013-07-11,Fridge,2017-07-11,.065,
2014-07-11,Fridge,2017-07-11,.065,
2015-07-11,Fridge,2017-07-11,.065,
2013-07-12,Fridge,2017-07-12,.058,
2015-07-12,Fridge,2017-07-12,.058,
2013-07-14,Fridge,2017-07-14,.063,
2014-07-14,Fridge,2017-07-14,.063,
2015-07-14,Fridge,2017-07-14,.063,
2013-07-15,Fridge,2017-07-15,.066,
2014-07-15,Fridge,2017-07-15,.066,
2015-07-15,Fridge,2017-07-15,.066,
2013-07-16,Fridge,2017-07-16,.070,
2014-07-16,Fridge,2017-07-16,.070,
2015-07-16,Fridge,2017-07-16,.070,
2013-07-17,Fridge,2017-07-17,.086,
2014-07-17,Fridge,2017-07-17,.086,
2015-07-17,Fridge,2017-07-17,.086,
2014-07-18,Fridge,2017-07-18,.061,
2015-07-18,Fridge,2017-07-18,.061,
2013-07-19,Fridge,2017-07-19,.067,
2015-07-19,Fridge,2017-07-19,.067,
2013-07-20,Fridge,2017-07-20,.069,
2015-07-20,Fridge,2017-07-20,.069,
2013-07-21,Fridge,2017-07-21,.053,
2014-07-21,Fridge,2017-07-21,.053,
2015-07-21,Fridge,2017-07-21,.053,
2013-07-22,Fridge,2017-07-22,.080,
2015-07-22,Fridge,2017-07-22,.080,
2013-07-23,Fridge,2017-07-23,.058,
2013-07-24,Fridge,2017-07-24,.065,
2014-07-24,Fridge,2017-07-24,.065,
2015-07-24,Fridge,2017-07-24,.065,
2013-07-25,Fridge,2017-07-25,.075,
2014-07-25,Fridge,2017-07-25,.075,
2015-07-25,Fridge,2017-07-25,.075,
2014-07-26,Fridge,2017-07-26,.054,
2015-07-26,Fridge,2017-07-26,.054,
2013-07-27,Fridge,2017-07-27,.085,
2014-07-27,Fridge,2017-07-27,.085,
2015-07-27,Fridge,2017-07-27,.085,
2015-07-29,Fridge,2017-07-29,.081,
2013-07-30,Fridge,2017-07-30,.071,
2014-07-30,Fridge,2017-07-30,.071,
2013-07-31,Fridge,2017-07-31,.052,
2014-07-31,Fridge,2017-07-31,.052,
2015-07-31,Fridge,2017-07-31,.052,
2014-08-01,Fridge,2017-08-01,.056,
2015-08-01,Fridge,2017-08-01,.056,
2015-08-02,Fridge,2017-08-02,.075,
2014-08-03,Fridge,2017-08-03,.070,
2015-08-03,Fridge,2017-08-03,.070,
2013-08-04,Fridge,2017-08-04,.088,
2014-08-04,Fridge,2017-08-04,.088,
2015-08-04,Fridge,2017-08-04,.088,
2013-08-05,Fridge,2017-08-05,.086,
2015-08-05,Fridge,2017-08-05,.086,
2013-08-06,Fridge,2017-08-06,.080,
2014-08-06,Fridge,2017-08-06,.080,
2014-08-07,Fridge,2017-08-07,.051,
2015-08-07,Fridge,2017-08-07,.051,
2015-08-08,Fridge,2017-08-08,.085,
2014-08-09,Fridge,2017-08-09,.051,
2015-08-09,Fridge,2017-08-09,.051,
